Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
Param Vir Chakra,1995,170,War,6.7,52,Ashok Kaul,Saeed Jaffrey,Kulbhushan Kharbanda,Hema Malini,20,7.5
Pari,2018,136,Horror,6.6,"5,900",Prosit Roy,Rajat Kapoor,Parambrata Chattopadhyay,Anushka Sharma,30,41.4
Stree,2018,128,Horror,7.6,"29,900",Amar Kaushik,Rajkummar Rao,Shraddha Kapoor,Pankaj Tripathi,20,180.76
Patiala House,2011,140,Sport,5.6,"8,780",Nikkhil Advani,Rishi Kapoor,Dimple Kapadia,Akshay Kumar,26,35.3
Phantom,2015,136,Action,5.9,"8,714",Kabir Khan,Saif Ali Khan,Katrina Kaif,Sabyasachi Chakrabarty,72,84
Sonchiriya,2019,143,Action,8.1,"9,572",Abhishek Chaubey,Sushant Singh Rajput,Bhumi Pednekar,Ashutosh Rana,22,10.42
PM Narendra Modi,2019,136,"Biography, Drama",3.1,"5,954",Omung Kumar,Vivek Oberoi,Manoj Joshi,Darshan Kumaar,8,28.51
Poster Boys,2017,128,Comedy,5.4,"1,446",Shreyas Talpade,Sunny Deol,Bobby Deol,Shreyas Talpade,12,15
Psycho Raman,2016,133,Crime,7.4,"13,418",Anurag Kashyap,Nawazuddin Siddiqui,Vicky Kaushal,Sobhita Dhulipala,3.5,7
Son of Sardaar,2012,141,Action,4,"9,060",Ashwani Dhir,Ajay Devgn,Anil Devgan,Sanjay Dutt,30,161.48
Pyaar Ka Punchnama 2,2015,137,Comedy,7.2,"14,259",Luv Ranjan,Kartik Aaryan,Omkar Kapoor,Sunny Singh Nijjar,22,88
R... Rajkumar,2013,146,Action,5.2,"5,552",Prabhu Deva,Sonu Sood,Sonakshi Sinha,Shahid Kapoor,58,99.57
Raabta,2017,147,Action,5.1,"6,311",Dinesh Vijan,Sushant Singh Rajput,Deepika Padukone,Rajkummar Rao,47,39.5
Ra.One,2011,156,Action,4.7,"39,039",Anubhav Sinha,Shah Rukh Khan,Arjun Rampal,Kareena Kapoor,150,207
Raanjhanaa,2013,140,Drama,7.6,"30,344",Aanand L. Rai,Dhanush,Sonam Kapoor,Mohd. Zeeshan Ayyub,36,94
Rab Ne Bana Di Jodi,2008,167,Comedy,7.2,"44,985",Aditya Chopra,Shah Rukh Khan,Anushka Sharma,Vinay Pathak,22.67,187
Race,2008,149,Action,6.7,"13,516",Abbas Alibhai Burmawalla,Saif Ali Khan,Mastan Alibhai Burmawalla,Akshaye Khanna,46,103.45
Race 2,2013,150,Action,5.4,"15,574",Abbas Alibhai Burmawalla,Anil Kapoor,Saif Ali Khan,Mastan Alibhai Burmawalla,94,180
Race 3,2018,160,Action,1.9,"42,457",Remo D'Souza,Salman Khan,Anil Kapoor,Bobby Deol,180,165
Radhe,2021,135,Action,1.8,"1,62,455",Prabhu Deva,Salman Khan,Disha Patani,Randeep Hooda,90,18.33
Raid,2018,122,Action,7.4,"15,835",Raj Kumar Gupta,Ajay Devgn,Ileana D'Cruz,Amit Bimrot,72,153.62
Raja Natwarlal,2014,141,Crime,6.1,"4,038",Kunal Deshmukh,Emraan Hashmi,Humaima Malik,Paresh Rawal,47,39
